SITE,DATE,HORA,PM10
Bolivia,8/08/2013,20,51
Bolivia,8/08/2013,21,51
Bolivia,8/08/2013,22,50
Bolivia,8/08/2013,23,48
Bolivia,8/08/2013,24,46
Bolivia,9/08/2013,1,44
Bolivia,9/08/2013,2,42
Bolivia,9/08/2013,3,41
Bolivia,9/08/2013,4,39
Bolivia,9/08/2013,5,38
Bolivia,9/08/2013,6,37
Bolivia,9/08/2013,7,36
Bolivia,9/08/2013,8,34
Bolivia,9/08/2013,9,33
Bolivia,9/08/2013,10,31
Bolivia,9/08/2013,11,29
Bolivia,9/08/2013,12,28
Bolivia,9/08/2013,13,35
Bolivia,9/08/2013,14,37
Bolivia,9/08/2013,15,39
Bolivia,9/08/2013,16,35
Bolivia,9/08/2013,17,35
Bolivia,9/08/2013,18,31
Bolivia,9/08/2013,19,28
Bolivia,9/08/2013,20,26
Bolivia,9/08/2013,21,26
Bolivia,9/08/2013,22,27
Bolivia,9/08/2013,23,29
Bolivia,9/08/2013,24,30
Bolivia,10/08/2013,1,31
Bolivia,10/08/2013,2,32
Bolivia,10/08/2013,3,32
Bolivia,10/08/2013,4,32
Bolivia,10/08/2013,5,32
Bolivia,10/08/2013,6,33
Bolivia,10/08/2013,7,32
Bolivia,10/08/2013,8,33
Bolivia,10/08/2013,9,33
Bolivia,10/08/2013,10,33
Bolivia,10/08/2013,11,33
Bolivia,10/08/2013,12,33
Bolivia,10/08/2013,13,38
Bolivia,10/08/2013,14,47
Bolivia,10/08/2013,15,58
Bolivia,10/08/2013,16,61
Bolivia,10/08/2013,17,63
Bolivia,10/08/2013,18,61
Bolivia,10/08/2013,19,60
Bolivia,10/08/2013,20,50
Bolivia,10/08/2013,21,43
Bolivia,10/08/2013,22,43
Bolivia,10/08/2013,23,43
Bolivia,10/08/2013,24,42
Bolivia,11/08/2013,1,42
Bolivia,11/08/2013,2,43
Bolivia,11/08/2013,3,45
Bolivia,11/08/2013,4,46
Bolivia,11/08/2013,5,0
Bolivia,11/08/2013,6,48
Bolivia,11/08/2013,7,49
Bolivia,11/08/2013,8,49
Bolivia,11/08/2013,9,49
Bolivia,11/08/2013,10,49
Bolivia,11/08/2013,11,49
Bolivia,11/08/2013,12,49
Bolivia,11/08/2013,13,49
Bolivia,11/08/2013,14,51
Bolivia,11/08/2013,15,50
Bolivia,11/08/2013,16,49
Bolivia,11/08/2013,17,48
Bolivia,11/08/2013,18,47
Bolivia,11/08/2013,19,47
Bolivia,11/08/2013,20,47
Bolivia,11/08/2013,21,47
Bolivia,11/08/2013,22,47
Bolivia,11/08/2013,23,46
Bolivia,11/08/2013,24,47
Bolivia,12/08/2013,1,47
Bolivia,12/08/2013,2,46
Bolivia,12/08/2013,3,45
Bolivia,12/08/2013,4,45
Bolivia,12/08/2013,5,45
Bolivia,12/08/2013,6,44
Bolivia,12/08/2013,7,45
Bolivia,12/08/2013,8,45
Bolivia,12/08/2013,9,45
Bolivia,12/08/2013,10,45
Bolivia,12/08/2013,11,45
Bolivia,12/08/2013,12,46
Bolivia,12/08/2013,13,46
Bolivia,12/08/2013,14,44
Bolivia,12/08/2013,15,45
Bolivia,12/08/2013,16,46
Bolivia,12/08/2013,17,47
Bolivia,12/08/2013,18,47
Bolivia,12/08/2013,19,47
Bolivia,12/08/2013,20,47
Bolivia,12/08/2013,21,46
Bolivia,12/08/2013,22,46
Bolivia,12/08/2013,23,46
Bolivia,12/08/2013,24,46
Bolivia,13/08/2013,1,46
Bolivia,13/08/2013,2,48
Bolivia,13/08/2013,3,50
Bolivia,13/08/2013,4,52
Bolivia,13/08/2013,5,54
Bolivia,13/08/2013,6,56
Bolivia,13/08/2013,7,56
Bolivia,13/08/2013,8,56
Bolivia,13/08/2013,9,55
Bolivia,13/08/2013,10,55
Bolivia,13/08/2013,11,55
Bolivia,13/08/2013,12,55
Bolivia,13/08/2013,13,55
Bolivia,13/08/2013,14,55
Bolivia,13/08/2013,15,54
Bolivia,13/08/2013,16,54
Bolivia,13/08/2013,17,54
Bolivia,13/08/2013,18,54
Bolivia,13/08/2013,19,54
Bolivia,13/08/2013,20,54
Bolivia,13/08/2013,21,54
Bolivia,13/08/2013,22,54
Bolivia,13/08/2013,23,54
Bolivia,13/08/2013,24,55
Bolivia,14/08/2013,1,55
Bolivia,14/08/2013,2,55
Bolivia,14/08/2013,3,53
Bolivia,14/08/2013,4,51
Bolivia,14/08/2013,5,49
Bolivia,14/08/2013,6,45
Bolivia,14/08/2013,7,47
Bolivia,14/08/2013,8,48
Bolivia,14/08/2013,9,49
Bolivia,14/08/2013,10,50
Bolivia,14/08/2013,11,51
Bolivia,14/08/2013,12,51
Bolivia,14/08/2013,13,51
Bolivia,14/08/2013,14,51
Bolivia,14/08/2013,15,51
Bolivia,14/08/2013,16,52
Bolivia,14/08/2013,17,52
Bolivia,14/08/2013,18,53
Bolivia,14/08/2013,19,54
Bolivia,14/08/2013,20,54
Bolivia,14/08/2013,21,56
Bolivia,14/08/2013,22,56
Bolivia,14/08/2013,23,56
Bolivia,14/08/2013,24,55
Bolivia,15/08/2013,1,54
Bolivia,15/08/2013,2,53
Bolivia,15/08/2013,3,52
Bolivia,15/08/2013,4,52
Bolivia,15/08/2013,5,52
Bolivia,15/08/2013,6,51
Bolivia,15/08/2013,7,50
Bolivia,15/08/2013,8,49
Bolivia,15/08/2013,9,48
Bolivia,15/08/2013,10,48
Bolivia,15/08/2013,11,48
Bolivia,15/08/2013,12,49
Bolivia,15/08/2013,13,49
Bolivia,15/08/2013,14,50
Bolivia,15/08/2013,15,50
Bolivia,15/08/2013,16,50
Bolivia,15/08/2013,17,50
Bolivia,15/08/2013,18,50
Bolivia,15/08/2013,19,49
Bolivia,15/08/2013,20,48
Bolivia,15/08/2013,21,47
Bolivia,15/08/2013,22,45
Bolivia,15/08/2013,23,44
Bolivia,15/08/2013,24,44
Bolivia,16/08/2013,1,44
Bolivia,16/08/2013,2,45
Bolivia,16/08/2013,3,45
Bolivia,16/08/2013,4,45
Bolivia,16/08/2013,5,46
Bolivia,16/08/2013,6,47
Bolivia,16/08/2013,7,47
Bolivia,16/08/2013,8,49
Bolivia,16/08/2013,9,51
Bolivia,16/08/2013,10,51
Bolivia,16/08/2013,11,51
Bolivia,16/08/2013,12,51
Bolivia,16/08/2013,13,51
Bolivia,16/08/2013,14,51
Bolivia,16/08/2013,15,51
